freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
514.0,19.455,9.49e-08,2.51e-06,1.46e-05,0.000385,0.0,0.0,1.47e-05,0.000388,0.00397,0.99246
516.0,19.38,1.26e-07,3.36e-06,1.46e-05,0.000387,0.0,0.0,1.47e-05,0.000391,0.004,0.98995
518.0,19.305,1.63e-07,4.36e-06,1.45e-05,0.00039,0.0,0.0,1.47e-05,0.000394,0.00403,0.98703
520.0,19.231,2.04e-07,5.51e-06,1.45e-05,0.000392,0.0,0.0,1.47e-05,0.000397,0.00405,0.98368
522.0,19.157,2.52e-07,6.86e-06,1.45e-05,0.000394,0.0,0.0,1.47e-05,0.000401,0.00408,0.97976
524.0,19.084,3.01e-07,8.26e-06,1.44e-05,0.000396,0.0,0.0,1.47e-05,0.000404,0.00411,0.97575
526.0,19.011,3.62e-07,1e-05,1.43e-05,0.000397,0.0,0.0,1.47e-05,0.000407,0.00414,0.97071
528.0,18.939,4.06e-07,1.13e-05,1.43e-05,0.000399,0.0,0.0,1.47e-05,0.00041,0.00417,0.96707
530.0,18.868,4.19e-07,1.18e-05,1.43e-05,0.000402,0.0,0.0,1.47e-05,0.000413,0.0042,0.96591
532.0,18.797,4.2e-07,1.19e-05,1.43e-05,0.000405,0.0,0.0,1.47e-05,0.000417,0.00423,0.96574
534.0,18.727,3.67e-07,1.05e-05,1.44e-05,0.00041,0.0,0.0,1.48e-05,0.000421,0.00426,0.97009
536.0,18.657,3.6e-07,1.03e-05,1.44e-05,0.000414,0.0,0.0,1.48e-05,0.000424,0.00429,0.97065
538.0,18.587,3.49e-07,1.01e-05,1.44e-05,0.000418,0.0,0.0,1.48e-05,0.000428,0.00432,0.97147
540.0,18.519,2.64e-07,7.7e-06,1.45e-05,0.000424,0.0,0.0,1.48e-05,0.000432,0.00435,0.97851
542.0,18.45,5.94e-07,1.74e-05,1.42e-05,0.000416,0.0,0.0,1.47e-05,0.000433,0.00438,0.95115
544.0,18.382,3e-06,8.87e-05,1.11e-05,0.00033,0.0,0.0,1.41e-05,0.000418,0.00441,0.74798
546.0,18.315,3.11e-06,9.27e-05,1.1e-05,0.000329,0.0,0.0,1.42e-05,0.000422,0.00444,0.74153
548.0,18.248,9.73e-07,2.92e-05,1.37e-05,0.000413,0.0,0.0,1.47e-05,0.000442,0.00447,0.92238
550.0,18.182,5.93e-07,1.79e-05,1.42e-05,0.00043,0.0,0.0,1.48e-05,0.000448,0.00449,0.95235
